id_operacion,fecha_operacion,precio,public_id,codigo_frente_agua,codigo_vista,codigo_condicion,codigo_calidad,anio_renovacion,agente_id,codigo_pais
179001101,03/01/2023,135000.00,13966999,0,0,3,5,0,1,9
239000155,03/01/2023,707000.00,14748124,0,0,4,8,0,1,1
323079058,03/01/2023,850000.00,14394219,0,0,3,10,0,7,1
461002150,03/01/2023,725000.00,10664410,0,0,5,8,0,11,1
644210020,03/01/2023,1029600.00,10228895,0,0,4,8,0,3,1
925069042,03/01/2023,713000.00,13021196,0,0,4,8,0,2,1
1041440360,03/01/2023,299999.00,10941425,0,0,3,8,0,2,1
1049000060,03/01/2023,325000.00,12373064,0,0,4,7,0,4,1
1238900130,03/01/2023,1100000.00,14124023,0,0,3,9,0,11,1
1241500350,03/01/2023,830000.00,12953547,0,0,4,7,0,11,2
1402200140,03/01/2023,400000.00,13435291,0,0,4,8,0,1,1
1621069045,03/01/2023,600000.00,14058915,0,0,3,10,0,10,1
1630700276,03/01/2023,385000.00,12178358,0,0,3,7,0,11,1
1774000170,03/01/2023,419950.00,14827538,0,0,3,8,0,4,1
1774000780,03/01/2023,469500.00,13332233,0,0,4,8,0,2,1
1826049426,03/01/2023,587400.00,11764692,0,0,3,8,0,3,1
1896700080,03/01/2023,855000.00,14408286,0,0,3,9,0,5,1
1954430180,03/01/2023,485000.00,14191135,0,0,3,8,0,9,10
2025049175,03/01/2023,755000.00,14715566,0,0,3,8,0,5,1
2126059294,03/01/2023,960000.00,11547934,0,0,3,10,0,2,1
2346200030,03/01/2023,802541.00,10622180,0,0,3,9,0,10,1
2461900850,03/01/2023,570000.00,12447148,0,0,3,7,0,4,3
2697100140,03/01/2023,423000.00,10663907,0,0,5,7,0,11,1
2724079090,03/01/2023,1650000.00,14629035,0,3,3,11,0,2,1
3094000210,03/01/2023,269950.00,10731049,0,0,3,7,0,7,1
3213200215,03/01/2023,600000.00,12927626,0,0,4,7,0,1,6
3298400350,03/01/2023,312500.00,14296183,0,0,4,7,0,11,1
3450300430,03/01/2023,317500.00,10410022,0,0,4,7,0,2,4
3501600100,03/01/2023,490000.00,14497776,0,0,4,6,0,8,10
3613600150,03/01/2023,300523.00,11235351,0,0,3,9,0,11,2
3629920860,03/01/2023,729000.00,10197220,0,0,3,9,0,2,1
3668000070,03/01/2023,212000.00,11722998,0,0,4,7,0,1,2
3761700053,03/01/2023,2150000.00,10014563,1,4,3,11,2000,10,1
3764800250,03/01/2023,435600.00,10628391,0,0,3,7,0,3,1
3830610320,03/01/2023,241000.00,10824379,0,0,4,7,0,11,1
3832500230,03/01/2023,245000.00,13046248,0,0,4,7,0,7,1
3856902250,03/01/2023,593500.00,14623272,0,0,4,8,0,1,2
4024100951,03/01/2023,420000.00,14065493,0,0,3,8,0,1,1
4137060270,03/01/2023,313000.00,12881413,0,0,3,8,0,11,1
4178501020,03/01/2023,276750.00,14116030,0,0,4,7,0,8,1
5128000010,03/01/2023,130680.00,10068708,0,0,2,6,0,3,1
5448300150,03/01/2023,550000.00,11957694,0,0,4,8,0,5,1
5468760050,03/01/2023,270000.00,12326499,0,0,3,7,0,2,1
6073300790,03/01/2023,383000.00,14338295,0,0,4,8,0,5,9
6181430800,03/01/2023,330000.00,13502616,0,0,3,7,0,8,4
6412100092,03/01/2023,362500.00,10413956,0,0,3,7,0,4,10
6793300220,03/01/2023,739000.00,10287403,0,0,3,9,0,1,1
7007700030,03/01/2023,400000.00,12664859,0,0,3,7,0,4,1
7202380120,03/01/2023,482500.00,13888241,0,0,3,7,0,11,8
7214800190,03/01/2023,490000.00,12074390,0,0,3,8,0,7,1
7504400750,03/01/2023,652427.00,11670564,0,0,4,8,0,10,1
7616200050,03/01/2023,500000.00,12670310,0,0,3,7,0,11,1
7852160070,03/01/2023,937500.00,12950157,0,3,3,10,0,8,1
8820903555,03/01/2023,617100.00,14800739,0,0,4,7,0,3,1
9133600130,03/01/2023,344500.00,10876501,0,0,3,7,0,11,1
9189700255,03/01/2023,165000.00,13829620,0,0,4,6,0,11,1
9269750690,03/01/2023,299950.00,14712273,0,0,3,7,0,1,1
9284801100,03/01/2023,418440.00,10359592,0,0,2,7,0,3,1
9829200250,03/01/2023,2240040.00,13820005,0,4,3,10,2014,3,2
269000070,04/01/2023,608000.00,11296338,0,0,3,7,0,2,1
809000945,04/01/2023,563000.00,10899134,0,0,3,7,0,10,4
993001914,04/01/2023,344000.00,13507856,0,0,3,8,0,9,3
